ID	DepMap
GRM	ACH-001072
NCIH292	ACH-001075
HCC1588	ACH-001078
HCC1897	ACH-001079
HCC2998	ACH-001081
HCT8	ACH-001084
HELA	ACH-001086
HK2	ACH-001087
HLC1	ACH-001088
HLE	ACH-001089
HN	ACH-001090
HRT18	ACH-001091
HS604T	ACH-001093
HTK	ACH-001094
JR	ACH-001096
KARPAS384	ACH-001097
KCIMOH1	ACH-001098
KD	ACH-001099
KHYG	ACH-001100
KLM1	ACH-001101
TALL1	ACH-000197
KP1N	ACH-001107
KP1NL	ACH-001108
KPMRTRY	ACH-001109
L82	ACH-001111
LC1SQSF	ACH-001113
M059J	ACH-001118
MAC2A	ACH-001119
ZR7530	ACH-000828
REC1	ACH-000068
MKL1	ACH-001122
MKL2	ACH-001123
MOGGCCM	ACH-001125
MOGGUVW	ACH-001126
HPBALL	ACH-000942
MON	ACH-001128
MONOMAC1	ACH-001129
MOTN1	ACH-001130
MTA	ACH-001132
MYLA	ACH-001134
NCIH187	ACH-001136
NCIH1993	ACH-001137
NCIH2141	ACH-001138
NCIH820	ACH-001140
NHAHTDD	ACH-001142
NKL	ACH-001143
OC316	ACH-001145
OCILY10	ACH-001146
OCILY12	ACH-001147
OCILY132	ACH-001148
OUMS27	ACH-001150
OVCAR5	ACH-001151
PCM6	ACH-001162
CCLFPEDS0001T	ACH-001163
CCLFPEDS0003T	ACH-001164
PETA	ACH-001170
PL45	ACH-001171
R262	ACH-001173
RCC4	ACH-001175
RPMI6666	ACH-001182
RT11284	ACH-001183
SCMCRM2	ACH-001184
SF8657	ACH-001187
SHSY5Y	ACH-001188
SJRH30	ACH-001189
SKMEL2	ACH-001190
SKNEP1	ACH-001192
SKNMC	ACH-000039
SKRC31	ACH-001194
SMSCTR	ACH-001196
SMZ1	ACH-001197
SNB19	ACH-001198
SNUC2B	ACH-001199
STM9101	ACH-001200
SUMB002	ACH-001201
SUPHD1	ACH-001203
SKPNDW	ACH-001193
TIG3TD	ACH-001207
TK10	ACH-001208
CCRFCEM	ACH-001738
TTC1240	ACH-001210
TTC549	ACH-001211
TTC642	ACH-001212
U138MG	ACH-001214
UPCISCC152	ACH-001228
UT7	ACH-001230
UW228	ACH-001232
VMRCLCD	ACH-001233
VMRCLCP	ACH-001234
WM2664	ACH-001239
HCC1569	ACH-000930
